"# Cumulative DVH Data - Dose in Gy, Volume in cm3"
# Values represent volume of structure receiving >= dose
# Generated from DICOM RT data

GY,BODY_1_Volume_cm3,CouchSurface_11_Volume_cm3,override_1_Volume_cm3,PTV_5mm_4cm_sphere_Volume_cm3,.GTV_point_source_Volume_cm3,OAR_2_1_Volume_cm3
0.204050,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
0.204719,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
0.205388,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.206057,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.206726,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.207395,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.208064,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.208733,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.209402,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.210071,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.210740,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.211409,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.212078,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.212747,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.213416,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.214085,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.214754,10413.5591,2038.6544,6666.2390,44.9097,5.3212,145.7861
0.215423,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.216092,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.216761,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.217430,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.218099,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.218768,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.219437,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.220106,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.220775,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.221444,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.222113,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.222782,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.223451,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.224120,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.224789,10191.7247,2038.6544,6491.2870,44.9097,5.3212,141.4959
0.225458,9988.0731,2038.6544,6330.5034,44.9097,5.3212,137.8871
0.226127,9988.0731,2038.6544,6330.5034,44.9097,5.3212,137.8871
0.226796,9988.0731,2038.6544,6330.5034,44.9097,5.3212,137.8871
0.227465,9988.0731,2038.6544,6330.5034,44.9097,5.3212,137.8871
0.228134,9988.0731,2038.6544,6330.5034,44.9097,5.3212,137.8871
