"# Cumulative PET Volume Histogram (PVH) - PET in Bq/mL, Volume in mL"
# Values represent volume of structure with >= PET activity
# Generated from PET and RT Structure data

PET_Bq_per_mL,BODY_1_Volume_mL,CouchSurface_11_Volume_mL,override_1_Volume_mL,PTV_5mm_4cm_sphere_Volume_mL,.GTV_point_source_Volume_mL,OAR_2_1_Volume_mL
11363.797188,12.1615,0.0000,12.1615,12.1265,6.0562,0.0000
11405.120087,12.1405,0.0000,12.1405,12.1054,6.0562,0.0000
11446.442986,12.0914,0.0000,12.0914,12.0634,6.0562,0.0000
11487.765884,12.0494,0.0000,12.0494,12.0213,6.0562,0.0000
11529.088783,12.0423,0.0000,12.0423,12.0143,6.0562,0.0000
11570.411682,12.0143,0.0000,12.0143,11.9863,6.0562,0.0000
11611.734581,11.9863,0.0000,11.9863,11.9582,6.0562,0.0000
11653.057480,11.9582,0.0000,11.9582,11.9302,6.0492,0.0000
11694.380379,11.9442,0.0000,11.9442,11.9232,6.0492,0.0000
11735.703278,11.9302,0.0000,11.9302,11.9092,6.0492,0.0000
11777.026176,11.8951,0.0000,11.8951,11.8741,6.0492,0.0000
11818.349075,11.8881,0.0000,11.8881,11.8741,6.0492,0.0000
11859.671974,11.8671,0.0000,11.8671,11.8531,6.0492,0.0000
11900.994873,11.8531,0.0000,11.8531,11.8391,6.0492,0.0000
11942.317772,11.8250,0.0000,11.8250,11.8110,6.0492,0.0000
11983.640671,11.8110,0.0000,11.8110,11.7970,6.0492,0.0000
12024.963570,11.7970,0.0000,11.7970,11.7830,6.0492,0.0000
12066.286469,11.7760,0.0000,11.7760,11.7620,6.0492,0.0000
12107.609367,11.7690,0.0000,11.7690,11.7550,6.0492,0.0000
12148.932266,11.7339,0.0000,11.7339,11.7199,6.0492,0.0000
12190.255165,11.7059,0.0000,11.7059,11.6989,6.0422,0.0000
12231.578064,11.6849,0.0000,11.6849,11.6778,6.0422,0.0000
12272.900963,11.6708,0.0000,11.6708,11.6638,6.0422,0.0000
12314.223862,11.6638,0.0000,11.6638,11.6638,6.0422,0.0000
12355.546761,11.6568,0.0000,11.6568,11.6568,6.0422,0.0000
12396.869659,11.6498,0.0000,11.6498,11.6498,6.0422,0.0000
12438.192558,11.6428,0.0000,11.6428,11.6428,6.0422,0.0000
12479.515457,11.6078,0.0000,11.6078,11.6078,6.0422,0.0000
12520.838356,11.5797,0.0000,11.5797,11.5797,6.0422,0.0000
12562.161255,11.5657,0.0000,11.5657,11.5657,6.0422,0.0000
12603.484154,11.5587,0.0000,11.5587,11.5587,6.0422,0.0000
12644.807053,11.5447,0.0000,11.5447,11.5447,6.0422,0.0000
12686.129951,11.5236,0.0000,11.5236,11.5236,6.0352,0.0000
12727.452850,11.5166,0.0000,11.5166,11.5166,6.0352,0.0000
12768.775749,11.5096,0.0000,11.5096,11.5096,6.0282,0.0000
12810.098648,11.4746,0.0000,11.4746,11.4746,6.0282,0.0000
12851.421547,11.4535,0.0000,11.4535,11.4535,6.0282,0.0000
12892.744446,11.4185,0.0000,11.4185,11.4185,6.0282,0.0000
12934.067345,11.4045,0.0000,11.4045,11.4045,6.0282,0.0000
12975.390244,11.3905,0.0000,11.3905,11.3905,6.0282,0.0000
13016.713142,11.3764,0.0000,11.3764,11.3764,6.0282,0.0000
13058.036041,11.3484,0.0000,11.3484,11.3484,6.0282,0.0000
13099.358940,11.3204,0.0000,11.3204,11.3204,6.0282,0.0000
13140.681839,11.3204,0.0000,11.3204,11.3204,6.0282,0.0000
13182.004738,11.3063,0.0000,11.3063,11.3063,6.0282,0.0000
13223.327637,11.2853,0.0000,11.2853,11.2853,6.0282,0.0000
13264.650536,11.2713,0.0000,11.2713,11.2713,6.0282,0.0000
13305.973434,11.2643,0.0000,11.2643,11.2643,6.0282,0.0000
13347.296333,11.2433,0.0000,11.2433,11.2433,6.0282,0.0000
13388.619232,11.2433,0.0000,11.2433,11.2433,6.0282,0.0000
13429.942131,11.2433,0.0000,11.2433,11.2433,6.0282,0.0000
13471.265030,11.2292,0.0000,11.2292,11.2292,6.0282,0.0000
13512.587929,11.2082,0.0000,11.2082,11.2082,6.0282,0.0000
13553.910828,11.1802,0.0000,11.1802,11.1802,6.0282,0.0000
13595.233727,11.1662,0.0000,11.1662,11.1662,6.0282,0.0000
13636.556625,11.1662,0.0000,11.1662,11.1662,6.0282,0.0000
13677.879524,11.1451,0.0000,11.1451,11.1451,6.0282,0.0000
13719.202423,11.1241,0.0000,11.1241,11.1241,6.0282,0.0000
13760.525322,11.1101,0.0000,11.1101,11.1101,6.0282,0.0000
13801.848221,11.0820,0.0000,11.0820,11.0820,6.0282,0.0000
13843.171120,11.0680,0.0000,11.0680,11.0680,6.0282,0.0000
13884.494019,11.0400,0.0000,11.0400,11.0400,6.0282,0.0000
13925.816917,11.0260,0.0000,11.0260,11.0260,6.0282,0.0000
13967.139816,11.0190,0.0000,11.0190,11.0190,6.0282,0.0000
14008.462715,10.9909,0.0000,10.9909,10.9909,6.0282,0.0000
14049.785614,10.9909,0.0000,10.9909,10.9909,6.0282,0.0000
14091.108513,10.9909,0.0000,10.9909,10.9909,6.0282,0.0000
14132.431412,10.9769,0.0000,10.9769,10.9769,6.0282,0.0000
